#Nodes with GAIN events
N5: 1
N10: 1
BGAB1: 1
N24: 1
Furpol: 1
Furant: 1
FGA104: 1
Triowe: 1
N70: 1
Trijac: 1
Tricri: 1
Total number of gain events: 11
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
B3088: 1
N5: 1
N7: 1
B11609: 1
B983: 1
N11: 1
BGAB1: 1
Rhamar: 1
Rhatem: 1
N19: 1
F3015: 1
FGA489: 1
N39: 1
CGA312: 1
CGA763: 1
C3125: 1
CGA311: 1
C3043: 1
N60: 1
CGA453: 1
N62: 1
N66: 1
Kinxen: 1
N78: 1
Chanam: 1
Total number of loss events: 25
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
BGA709: 1
F3015: 1
C12265: 1
Kinboe: 1
N77: 1
Total number of demi-dulications events: 5
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	1	1	0	1	0
BGA309	1	1	0	0	0
B11696	0	1	0	0	0
B11609	0	2	0	0	0
B983	1	1	0	0	0
B11604	1	0	0	0	0
BGAA1	0	1	0	0	0
BGA584	0	1	0	0	0
BGA303	0	0	0	0	0
BGAB1	1	1	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	0	0	0	0
Rhamar	0	1	0	0	0
Rhatem	0	1	0	0	0
FGA379	0	0	0	0	0
F3015	0	2	0	1	0
F1476	1	1	0	0	0
Furcep	1	1	0	0	0
Furpol	2	1	0	0	0
F2241	1	1	0	0	0
Furang	1	1	0	0	0
FGA490	1	1	0	0	0
FGA456	1	1	0	0	0
FGA513	1	1	0	0	0
F12278	1	1	0	0	0
Furant	2	1	0	0	0
FGA331	1	1	0	0	0
FGA465	1	1	0	0	0
FGA99	1	1	0	0	0
FGA15	1	1	0	0	0
FGA581	1	1	0	0	0
FGA104	1	1	0	0	0
FGA489	0	2	0	0	0
FGA174	0	1	0	0	0
FurbGB	0	1	0	0	0
CGA312	0	2	0	0	0
CGA642	0	1	0	0	0
CGA763	0	2	0	0	0
C601	0	1	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	2	0	0	0
CGA429	0	1	0	0	0
C984	0	1	0	0	0
CGA310	0	1	0	0	0
CGA365	0	1	0	0	0
CGA494	0	1	0	0	0
C12265	0	1	0	1	0
C404	0	1	0	0	0
Cl11778	0	1	0	0	0
CGA48	0	1	0	0	0
C3126	0	1	0	0	0
CGA311	0	2	0	0	0
CGA45	0	1	0	0	0
C3043	0	2	0	0	0
CGA364	0	1	0	0	0
C2208	0	1	0	0	0
CGA453	0	2	0	0	0
CGA501	0	2	0	0	0
C3121	0	2	0	0	0
Calparcri	0	1	0	0	0
C3118	0	1	0	0	0
Triowe	1	1	0	0	0
Trijoh	0	1	0	0	0
Trimel	0	1	0	0	0
Trihoe	1	1	0	0	0
Tribit	1	1	0	0	0
Trijac	2	1	0	0	0
Tricri	1	1	0	0	0
Triwie	0	1	0	0	0
Triqua	0	1	0	0	0
Kinboe	0	0	0	1	0
Kinfis	0	0	0	0	0
Kinxen	0	1	0	0	0
Chaafr	0	1	0	1	0
Chacha	0	1	0	1	0
Chacaly	0	1	0	1	0
Chazey	0	1	0	1	0
Chadil	0	1	0	1	0
Chasen	0	1	0	1	0
Chanam	0	1	0	1	0
Braset	0	0	0	0	0
Bramel	0	0	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	0	0	0	0
Bradam	0	0	0	0	0
