#Nodes with GAIN events
Rhatem: 1
F2241: 1
N31: 1
N36: 1
CGA365: 1
Tribit: 1
N75: 1
Kinboe: 1
Kinxen: 2
Chaafr: 1
Chacaly: 1
Total number of gain events: 12
#+++++++++++++++++++++++++++++

#Nodes with LOSS events
N3: 1
B11604: 1
N11: 1
Rhaspe: 1
Rhamar: 2
Rhatem: 1
N19: 1
F3015: 2
F1476: 1
FGA99: 1
FGA104: 3
FGA174: 1
FurbGB: 1
CGA763: 1
CGA236: 1
N47: 1
C984: 1
C3126: 1
N56: 1
CGA453: 1
N65: 1
Kinboe: 1
Kinxen: 1
Chacaly: 1
Chadil: 1
Bramel: 1
Brapum: 1
Total number of loss events: 31
#+++++++++++++++++++++++++++++

#Nodes with duplication events
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events
N7: 1
FGA465: 1
Total number of demi-dulications events: 2
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with base number transitions

Total number of base number transitions: 0
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions to max chromosome allowed
Total number of transitions to max chromosome: 0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
B3088	0	1	0	0	0
BGA709	0	1	0	0	0
BGA309	0	1	0	0	0
B11696	0	1	0	1	0
B11609	0	1	0	1	0
B983	0	1	0	0	0
B11604	0	2	0	0	0
BGAA1	0	2	0	0	0
BGA584	0	2	0	0	0
BGA303	0	1	0	0	0
BGAB1	0	1	0	0	0
PGA445	0	0	0	0	0
Rhaspe	0	1	0	0	0
Rhamar	0	2	0	0	0
Rhatem	1	1	0	0	0
FGA379	0	0	0	0	0
F3015	0	3	0	0	0
F1476	0	2	0	0	0
Furcep	0	1	0	0	0
Furpol	0	1	0	0	0
F2241	1	1	0	0	0
Furang	0	1	0	0	0
FGA490	0	1	0	0	0
FGA456	1	1	0	0	0
FGA513	1	1	0	0	0
F12278	1	1	0	0	0
Furant	1	1	0	0	0
FGA331	1	1	0	0	0
FGA465	1	1	0	1	0
FGA99	1	2	0	0	0
FGA15	1	1	0	0	0
FGA581	1	1	0	0	0
FGA104	0	4	0	0	0
FGA489	0	1	0	0	0
FGA174	0	2	0	0	0
FurbGB	0	2	0	0	0
CGA312	0	0	0	0	0
CGA642	0	0	0	0	0
CGA763	0	1	0	0	0
C601	0	0	0	0	0
CGA236	0	1	0	0	0
Calboe	0	1	0	0	0
C3125	0	1	0	0	0
CGA429	0	1	0	0	0
C984	0	1	0	0	0
CGA310	0	0	0	0	0
CGA365	1	0	0	0	0
CGA494	0	0	0	0	0
C12265	0	0	0	0	0
C404	0	0	0	0	0
Cl11778	0	0	0	0	0
CGA48	0	0	0	0	0
C3126	0	1	0	0	0
CGA311	0	1	0	0	0
CGA45	0	1	0	0	0
C3043	0	1	0	0	0
CGA364	0	1	0	0	0
C2208	0	1	0	0	0
CGA453	0	1	0	0	0
CGA501	0	0	0	0	0
C3121	0	0	0	0	0
Calparcri	0	0	0	0	0
C3118	0	0	0	0	0
Triowe	0	1	0	0	0
Trijoh	0	1	0	0	0
Trimel	0	1	0	0	0
Trihoe	0	1	0	0	0
Tribit	1	1	0	0	0
Trijac	0	1	0	0	0
Tricri	0	1	0	0	0
Triwie	0	1	0	0	0
Triqua	0	1	0	0	0
Kinboe	2	2	0	0	0
Kinfis	1	1	0	0	0
Kinxen	2	2	0	0	0
Chaafr	1	0	0	0	0
Chacha	0	0	0	0	0
Chacaly	1	1	0	0	0
Chazey	0	0	0	0	0
Chadil	0	1	0	0	0
Chasen	0	0	0	0	0
Chanam	0	0	0	0	0
Braset	0	0	0	0	0
Bramel	0	1	0	0	0
Bratha	0	0	0	0	0
Bradra	0	0	0	0	0
Bratra	0	0	0	0	0
Bragut	0	0	0	0	0
Braven	0	0	0	0	0
Brapum	0	1	0	0	0
Bradam	0	0	0	0	0
